price,quantity,type,timestamp
4737000,7.0538,0,2024-04-29 00:01:17.458000
4736000,15.0,0,2024-04-29 00:01:17.458000
4735000,3.8958,0,2024-04-29 00:01:17.458000
4734000,1.0761,0,2024-04-29 00:01:17.458000
4740000,7.6573,1,2024-04-29 00:01:17.458000
4741000,3.561,1,2024-04-29 00:01:17.458000
4742000,0.0539,1,2024-04-29 00:01:17.458000
4743000,0.1022,1,2024-04-29 00:01:17.458000
4744000,22.5609,1,2024-04-29 00:01:17.458000
4738000,2.4251,0,2024-04-29 00:01:22.690000
4737000,2.6003,0,2024-04-29 00:01:22.690000
4736000,19.346,0,2024-04-29 00:01:22.690000
4735000,4.56,0,2024-04-29 00:01:22.690000
4734000,1.0633,0,2024-04-29 00:01:22.690000
4739000,0.0728,1,2024-04-29 00:01:22.690000
4740000,7.645,1,2024-04-29 00:01:22.690000
4741000,0.001,1,2024-04-29 00:01:22.690000
4742000,0.0539,1,2024-04-29 00:01:22.690000
4743000,0.1022,1,2024-04-29 00:01:22.690000
4738000,2.4251,0,2024-04-29 00:01:27.915000
4737000,6.1603,0,2024-04-29 00:01:27.915000
4736000,20.5523,0,2024-04-29 00:01:27.915000
4735000,1.0,0,2024-04-29 00:01:27.915000
4734000,1.0633,0,2024-04-29 00:01:27.915000
4739000,0.0152,1,2024-04-29 00:01:27.915000
4740000,7.645,1,2024-04-29 00:01:27.915000
4741000,0.001,1,2024-04-29 00:01:27.915000
4742000,0.0539,1,2024-04-29 00:01:27.915000
4743000,3.6622,1,2024-04-29 00:01:27.915000
4738000,5.9851,0,2024-04-29 00:01:33.133000
4737000,2.6003,0,2024-04-29 00:01:33.133000
4736000,19.346,0,2024-04-29 00:01:33.133000
4735000,1.0,0,2024-04-29 00:01:33.133000
4734000,1.0633,0,2024-04-29 00:01:33.133000
4740000,7.635,1,2024-04-29 00:01:33.133000
4741000,0.001,1,2024-04-29 00:01:33.133000
4742000,0.0539,1,2024-04-29 00:01:33.133000
4743000,3.6622,1,2024-04-29 00:01:33.133000
4744000,1.0009,1,2024-04-29 00:01:33.133000
4738000,5.8269,0,2024-04-29 00:01:38.350000
4737000,1.3859,0,2024-04-29 00:01:38.350000
4736000,20.5523,0,2024-04-29 00:01:38.350000
4735000,1.0,0,2024-04-29 00:01:38.350000
4734000,1.0633,0,2024-04-29 00:01:38.350000
4740000,7.635,1,2024-04-29 00:01:38.350000
4741000,0.001,1,2024-04-29 00:01:38.350000
4742000,0.0539,1,2024-04-29 00:01:38.350000
4743000,3.6622,1,2024-04-29 00:01:38.350000
4744000,1.0009,1,2024-04-29 00:01:38.350000
4738000,5.829,0,2024-04-29 00:01:43.676000
4737000,1.3859,0,2024-04-29 00:01:43.676000
4736000,19.3463,0,2024-04-29 00:01:43.676000
4735000,2.2063,0,2024-04-29 00:01:43.676000
4734000,1.0633,0,2024-04-29 00:01:43.676000
4740000,7.635,1,2024-04-29 00:01:43.676000
4741000,0.001,1,2024-04-29 00:01:43.676000
4742000,0.0539,1,2024-04-29 00:01:43.676000
4743000,0.1022,1,2024-04-29 00:01:43.676000
4744000,1.0009,1,2024-04-29 00:01:43.676000
4738000,0.1611,0,2024-04-29 00:01:48.933000
4737000,2.1083,0,2024-04-29 00:01:48.933000
4736000,1.6559,0,2024-04-29 00:01:48.933000
4735000,18.8955,0,2024-04-29 00:01:48.933000
4734000,1.0633,0,2024-04-29 00:01:48.933000
4740000,7.3256,1,2024-04-29 00:01:48.933000
4741000,0.001,1,2024-04-29 00:01:48.933000
4742000,0.0539,1,2024-04-29 00:01:48.933000
4743000,0.1022,1,2024-04-29 00:01:48.933000
4744000,1.0009,1,2024-04-29 00:01:48.933000
4738000,0.1611,0,2024-04-29 00:01:54.153000
4737000,5.6683,0,2024-04-29 00:01:54.153000
4736000,0.4506,0,2024-04-29 00:01:54.153000
4735000,20.1023,0,2024-04-29 00:01:54.153000
4734000,1.0633,0,2024-04-29 00:01:54.153000
4740000,7.3256,1,2024-04-29 00:01:54.153000
4741000,0.001,1,2024-04-29 00:01:54.153000
4742000,0.0539,1,2024-04-29 00:01:54.153000
4743000,0.1022,1,2024-04-29 00:01:54.153000
4744000,1.0009,1,2024-04-29 00:01:54.153000
4737000,2.1083,0,2024-04-29 00:01:59.373000
4736000,3.198,0,2024-04-29 00:01:59.373000
4735000,18.56,0,2024-04-29 00:01:59.373000
4734000,1.0633,0,2024-04-29 00:01:59.373000
4733000,1.4353,0,2024-04-29 00:01:59.373000
4740000,7.3266,1,2024-04-29 00:01:59.373000
4741000,0.001,1,2024-04-29 00:01:59.373000
4742000,0.0539,1,2024-04-29 00:01:59.373000
4743000,0.1022,1,2024-04-29 00:01:59.373000
4744000,4.5609,1,2024-04-29 00:01:59.373000
4739000,1.2165,0,2024-04-29 00:02:04.626000
4738000,2.1083,0,2024-04-29 00:02:04.626000
4737000,22.4554,0,2024-04-29 00:02:04.626000
4736000,1.4506,0,2024-04-29 00:02:04.626000
4735000,1.0,0,2024-04-29 00:02:04.626000
4740000,3.2672,1,2024-04-29 00:02:04.626000
4741000,0.001,1,2024-04-29 00:02:04.626000
4742000,0.0539,1,2024-04-29 00:02:04.626000
4743000,0.1022,1,2024-04-29 00:02:04.626000
4744000,1.0009,1,2024-04-29 00:02:04.626000
4740000,5.0033,0,2024-04-29 00:02:09.883000
4739000,5.6573,0,2024-04-29 00:02:09.883000
4738000,0.3354,0,2024-04-29 00:02:09.883000
4737000,16.0,0,2024-04-29 00:02:09.883000
4736000,1.0,0,2024-04-29 00:02:09.883000
4742000,0.0094,1,2024-04-29 00:02:09.883000
4744000,1.0009,1,2024-04-29 00:02:09.883000
4745000,5.0398,1,2024-04-29 00:02:09.883000
4747000,21.56,1,2024-04-29 00:02:09.883000
4748000,5.8873,1,2024-04-29 00:02:09.883000
4740000,6.9854,0,2024-04-29 00:02:15.125000
4739000,4.6564,0,2024-04-29 00:02:15.125000
4738000,0.9804,0,2024-04-29 00:02:15.125000
4737000,16.0,0,2024-04-29 00:02:15.125000
4736000,1.0,0,2024-04-29 00:02:15.125000
4741000,0.0,1,2024-04-29 00:02:15.125000
4742000,0.0094,1,2024-04-29 00:02:15.125000
4743000,0.001,1,2024-04-29 00:02:15.125000
4744000,4.5609,1,2024-04-29 00:02:15.125000
4745000,1.4798,1,2024-04-29 00:02:15.125000
4741000,2.1233,0,2024-04-29 00:02:20.354000
4740000,0.645,0,2024-04-29 00:02:20.354000
4739000,2.4463,0,2024-04-29 00:02:20.354000
4738000,3.56,0,2024-04-29 00:02:20.354000
4737000,16.336,0,2024-04-29 00:02:20.354000
4742000,0.0094,1,2024-04-29 00:02:20.354000
4743000,3.561,1,2024-04-29 00:02:20.354000
4744000,1.0009,1,2024-04-29 00:02:20.354000
4745000,5.0398,1,2024-04-29 00:02:20.354000
4746000,0.002,1,2024-04-29 00:02:20.354000
4741000,1.7193,0,2024-04-29 00:02:25.585000
4740000,0.875,0,2024-04-29 00:02:25.585000
4739000,4.6564,0,2024-04-29 00:02:25.585000
4738000,0.3356,0,2024-04-29 00:02:25.585000
4737000,19.56,0,2024-04-29 00:02:25.585000
4742000,0.0094,1,2024-04-29 00:02:25.585000
4743000,0.001,1,2024-04-29 00:02:25.585000
4744000,4.5609,1,2024-04-29 00:02:25.585000
4745000,5.0398,1,2024-04-29 00:02:25.585000
4746000,0.002,1,2024-04-29 00:02:25.585000
4740000,2.9815,0,2024-04-29 00:02:30.820000
4739000,5.0416,0,2024-04-29 00:02:30.820000
4737000,18.8957,0,2024-04-29 00:02:30.820000
4736000,6.33,0,2024-04-29 00:02:30.820000
4735000,1.4232,0,2024-04-29 00:02:30.820000
4741000,0.2001,1,2024-04-29 00:02:30.820000
4742000,0.0094,1,2024-04-29 00:02:30.820000
